year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,11,243800,-229990,-243789,-100,-100,3
2011,152431,148500,8803,3931,7,3,190
2011,333688,383356,-33705,-49668,-10,-13,169
2011,180200,275426,-80387,-95226,-32,-35,287
2011,241680,264030,-12027,-22350,-5,-8,197
2011,747300,440000,305000,307300,76,70,281
2011,190694,256359,-53154,-65665,-23,-26,259
2011,392094,99000,279900,293094,311,296,211
2011,203520,48125,148250,155395,339,323,279
2011,318000,330000,0,-12000,0,-4,97
2011,445094,231000,209900,214094,100,93,188
2011,121900,170500,-40000,-48600,-26,-29,162
2011,85330,207557,-108188,-122227,-57,-59,110
2011,162949,96784,65740,66165,75,68,103
2011,319060,343374,-22938,-24314,-7,-7,62
2011,296800,308000,0,-11200,0,-4,138
2011,84800,186907,-89915,-102107,-53,-55,264
2011,170660,127490,45100,43170,39,34,96
2011,42400,154712,-100647,-112312,-72,-73,95
2011,174900,94600,79000,80300,92,85,251
2011,189002,223974,-25309,-34972,-12,-16,224
2011,503394,313500,189900,189894,67,61,208
2011,111300,187000,-65000,-75700,-38,-40,201
2011,171614,119900,52900,51714,49,43,151
2011,174900,145750,27500,29150,20,20,2
2011,371000,371000,0,0,0,0,62
2011,302100,220000,85000,82100,43,37,268
2011,254400,210176,48931,44224,26,21,226
2011,126977,237652,-96257,-110674,-45,-47,297
2011,224190,298080,-59482,-73890,-22,-25,105
2011,192920,133650,60500,59270,50,44,77
2011,127200,240910,-99009,-113710,-45,-47,183
2011,147340,200945,-43677,-53605,-24,-27,170
2011,694300,1109222,-353384,-414922,-35,-37,96
2011,175854,195542,-11865,-19688,-7,-10,212
2011,90207,137500,-39899,-47293,-32,-34,160
2011,120310,180085,-50214,-59775,-31,-33,297
2011,181260,174329,12519,6931,8,4,153
2011,65243,196100,-123450,-130857,-67,-67,7
2011,103880,218778,-100889,-114898,-51,-53,107
2011,135680,171725,-28114,-36045,-18,-21,134
2011,130380,11,122990,130369,1229900,1185173,92
2011,341320,465785,-101441,-124465,-24,-27,181
2011,210940,150700,62000,60240,45,40,169
2011,111300,205168,-81516,-93868,-44,-46,285
2011,359769,346500,24405,13269,8,4,127
2011,243800,299499,-42272,-55699,-16,-19,175
2011,637060,808260,-161509,-171200,-21,-21,71
2011,81620,105894,-22900,-24274,-23,-23,42
2011,195040,257006,-49642,-61966,-21,-24,160
2011,567100,135190,412100,431910,335,319,296
2011,118932,114400,8200,4532,8,4,183
2011,278780,445007,-141552,-166227,-35,-37,229
